Name,alpha_code,fip,population,p1_to_p2_date,p2_to_p3_date,p3_to_p4_date
Alabama,AL,1,4903185,2020-04-01,2020-06-01,2020-10-01
Alaska,AK,2,731545,2020-04-01,2020-06-01,2020-10-01
Arizona,AZ,4,7278717,2020-04-01,2020-06-01,2020-10-01
Arkansas,AR,5,3017825,2020-04-01,2020-06-01,2020-10-01
California,CA,6,39512223,2020-04-01,2020-06-01,2020-10-01
Colorado,CO,8,5758736,2020-04-01,2020-06-01,2020-10-01
Connecticut,CT,9,3565287,2020-04-01,2020-06-01,2020-10-01
Delaware,DE,10,973764,2020-04-01,2020-06-01,2020-10-01
District of Columbia,DC,11,705749,2020-04-01,2020-06-01,2020-10-01
Florida,FL,12,21477737,2020-04-01,2020-06-01,2020-10-01
Georgia,GA,13,10617423,2020-04-01,2020-06-01,2020-10-01
Hawaii,HI,15,1415872,2020-04-01,2020-06-01,2020-10-01
Idaho,ID,16,1787147,2020-04-01,2020-06-01,2020-10-01
Illinois,IL,17,12671821,2020-04-01,2020-06-01,2020-10-01
Indiana,IN,18,6732219,2020-04-01,2020-06-01,2020-10-01
Iowa,IA,19,3155070,2020-04-01,2020-06-01,2020-10-01
Kansas,KS,20,2913314,2020-04-01,2020-06-01,2020-10-01
Kentucky,KY,21,4467673,2020-04-01,2020-06-01,2020-10-01
Louisiana,LA,22,4648794,2020-04-01,2020-06-01,2020-10-01
Maine,ME,23,1344212,2020-04-01,2020-06-01,2020-10-01
Maryland,MD,24,6045680,2020-04-01,2020-06-01,2020-10-01
Massachusetts,MA,25,6949503,2020-04-01,2020-06-01,2020-10-01
Michigan,MI,26,9986857,2020-04-01,2020-06-01,2020-10-01
Minnesota,MN,27,5639632,2020-04-01,2020-06-01,2020-10-01
Mississippi,MS,28,2976149,2020-04-01,2020-06-01,2020-10-01
Missouri,MO,29,6137428,2020-04-01,2020-06-01,2020-10-01
Montana,MT,30,1068778,2020-04-01,2020-06-01,2020-10-01
Nebraska,NE,31,1934408,2020-04-01,2020-06-01,2020-10-01
Nevada,NV,32,3080156,2020-04-01,2020-06-01,2020-10-01
New Hampshire,NH,33,1359711,2020-04-01,2020-06-01,2020-10-01
New Jersey,NJ,34,8882190,2020-04-01,2020-06-01,2020-10-01
New Mexico,NM,35,2096829,2020-04-01,2020-06-01,2020-10-01
New York,NY,36,19453561,2020-04-01,2020-06-01,2020-10-01
North Carolina,NC,37,10488084,2020-04-01,2020-06-01,2020-10-01
North Dakota,ND,38,762062,2020-04-01,2020-06-01,2020-10-01
Ohio,OH,39,11689100,2020-04-01,2020-06-01,2020-10-01
Oklahoma,OK,40,3956971,2020-04-01,2020-06-01,2020-10-01
Oregon,OR,41,4217737,2020-04-01,2020-06-01,2020-10-01
Pennsylvania,PA,42,12801989,2020-04-01,2020-06-01,2020-10-01
Puerto Rico,PR,72,3193694,2020-04-01,2020-06-01,2020-10-01
Rhode Island,RI,44,1059361,2020-04-01,2020-06-01,2020-10-01
South Carolina,SC,45,5148714,2020-04-01,2020-06-01,2020-10-01
South Dakota,SD,46,884659,2020-04-01,2020-06-01,2020-10-01
Tennessee,TN,47,6833174,2020-04-01,2020-06-01,2020-10-01
Texas,TX,48,28995881,2020-04-01,2020-06-01,2020-10-01
Utah,UT,49,3205958,2020-04-01,2020-06-01,2020-10-01
Vermont,VT,50,623989,2020-04-01,2020-06-01,2020-10-01
Virginia,VA,51,8535519,2020-04-01,2020-06-01,2020-10-01
Washington,WA,53,7614893,2020-04-01,2020-06-01,2020-10-01
West Virginia,WV,54,1792065,2020-04-01,2020-06-01,2020-10-01
Wisconsin,WI,55,5822434,2020-04-01,2020-06-01,2020-10-01
Wyoming,WY,56,578759,2020-04-01,2020-06-01,2020-10-01
